週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
24,6,Galaxy Mobility,STABLE,0,84387684,-84387684,1384837005,0,14,0,0,5,5,0,0,0,2450,11187684,38200000
24,7,Omega Ltd.,STABLE,0,88378455,-88378455,1618293720,0,29,0,0,11,11,0,0,1,2010,9538455,31640000
24,8,Horizon Corporation,STABLE,0,109212300,-109212300,1413234989,0,26,0,0,8,8,0,0,0,3780,10732300,58880000
24,9,Future Motors,GROWTH,84442254,138950754,-54508500,1762295366,0,10,26,0,5,5,0,0,3,4870,21070754,75880000
24,10,モータースショップ,GROWTH,340168208,215696967,124471241,2746797354,0,0,0,97,0,0,0,0,1,1080,19175371,31635000
24,11,ファミリーアベニュー,GROWTH,0,-43925848,43925848,2507012440,0,0,0,0,0,0,0,0,3,1085,14572296,28340000
24,12,カーショップディーラー,GROWTH,0,-98373804,98373804,2750409773,0,0,0,0,0,0,0,0,5,1080,18621527,30340000
25,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
25,2,Galaxy Motors,STABLE,0,72079993,-72079993,1249109454,0,29,0,0,10,10,0,0,1,1740,6879993,27200000
25,3,Jupiter Group,STABLE,0,70953838,-70953838,1392089322,0,35,0,0,11,11,0,0,3,1210,9993838,18760000
25,4,Prime Cars,STABLE,0,181449212,-181449212,1713200004,0,33,0,0,7,7,0,0,1,7340,21329212,114720000
25,5,Eco Automotive,STABLE,39970944,60723070,-20752126,1121952576,0,16,12,0,8,8,0,0,0,1310,8603070,20520000
25,6,Galaxy Mobility,STABLE,27647064,82812300,-55165236,1329671769,0,11,9,0,6,6,0,0,2,2450,10412300,38200000
25,7,Omega Ltd.,STABLE,54621396,84556917,-29935521,1588358199,0,20,18,0,9,9,0,0,3,2010,10116917,31640000
25,8,Horizon Corporation,STABLE,61701084,101366146,-39665062,1373569927,0,12,18,0,4,4,0,0,2,3780,9686146,58880000
